"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Rhonaz","Les Arcs","1-SL","https://lift-world.info/en/lifts/8303/datas.htm",,"700 Pers/h",,,"1760 m",,"?? m","?? m","1802 m","?? %","35 %","264 m","?? Stk","2,09 m/s","?? min",,"42 m"
"Rhodos","Les Arcs","1-SL","https://lift-world.info/en/lifts/1605/datas.htm",,"865 Pers/h",,,"2099 m",,,"?? m","2119 m","?? %","30 %","105 m","?? Stk","2,5 m/s","?? min",,"20 m"
"Pré-Saint-Esprit","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3313/datas.htm",,"1350 Pers/h",,,"1830 m",,,"?? m","2182 m","19 %","33 %","1875 m","19 Stk","2,25 m/s","?? min",,"352 m"
"Pré-Saint-Esprit","Les Arcs","6-CLD/B","https://lift-world.info/en/lifts/18613/datas.htm",,"2700 Pers/h",,,"1833 m",,,"2793,14 m","2304 m","16,85 %","70,31 %","2850,34 m","22 Stk","6,0 m/s","8,38 min",,"471 m"
"Plagnettes","Les Arcs","4-CLD","https://lift-world.info/en/lifts/3312/datas.htm",,"2800 Pers/h",,,"2180 m",,,"?? m","2542 m","19 %","50 %","?? m","?? Stk","5,0 m/s","6,3 min",,"362 m"
"Pierre Blanche","Les Arcs","1-SL","https://lift-world.info/en/lifts/8302/datas.htm",,"800 Pers/h",,,"1620 m",,"?? m","?? m","1720 m","24 %","?? %","600 m","?? Stk","3,6 m/s","3,33 min",,"100 m"
"Peisey","Les Arcs","6-CLD","https://lift-world.info/en/lifts/3212/datas.htm",,"3000 Pers/h",,,"1612 m",,,"?? m","2083 m","?? %","59 %","3000 m","?? Stk","5,0 m/s","5,6 min",,"471 m"
"Mont Blanc","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3316/datas.htm",,"1850 Pers/h",,,"1628 m",,"?? m","?? m","2068 m","32 %","49 %","1547 m","?? Stk","2,25 m/s","?? min",,"440 m"
"Mont Blanc","Les Arcs","6-CLD","https://lift-world.info/en/lifts/15502/datas.htm",,"2700 Pers/h",,,"1606,5 m",,,"1608 m","2272,47 m","33 %","?? %","644,4 m","?? Stk","5,5 m/s","5,3 min",,"?? m"
"Marmottes","Les Arcs","6-CLD","https://lift-world.info/en/lifts/1428/datas.htm",,"3000 Pers/h",,,"2021 m",,,"?? m","2207 m","?? %","51 %","879 m","10 Stk","5,0 m/s","2,9 min",,"186 m"
"Le Dahu","Les Arcs","15-AT","https://lift-world.info/en/lifts/18664/datas.htm",,"315 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","457 m","2 Stk","?? m/s","?? min",,"98 m"
"Le Cabriolet","Les Arcs","16-MGFJ","https://lift-world.info/en/lifts/4001/datas.htm",,"800 Pers/h",,,"2051 m",,,"?? m","2105 m","?? %","75 %","239 m","?? Stk","5,0 m/s","?? min",,"54 m"
"Lanchettes","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3311/datas.htm",,"1620 Pers/h",,,"2135 m",,"?? m","?? m","2480 m","?? %","73 %","949 m","?? Stk","2,3 m/s","?? min",,"345 m"
"Lac des Combes 2","Les Arcs","1-SL","https://lift-world.info/en/lifts/8301/datas.htm",,"600 Pers/h",,,"2118 m",,"?? m","?? m","2156 m","?? %","45 %","162 m","?? Stk","2,53 m/s","?? min",,"38 m"
"Lac des Combes","Les Arcs","1-SL","https://lift-world.info/en/lifts/8300/datas.htm",,"600 Pers/h",,,"2118 m",,"?? m","?? m","2256 m","?? %","43 %","162 m","?? Stk","2,53 m/s","?? min",,"38 m"
"Lac des Combes","Les Arcs","1-SL","https://lift-world.info/en/lifts/18869/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Jardin Alpin","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3814/datas.htm",,"2400 Pers/h",,,"1630 m",,"?? m","?? m","1727 m","25 %","68 %","406 m","?? Stk","2,3 m/s","?? min",,"97 m"
"Grand Renard","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3331/datas.htm",,"1350 Pers/h",,,"2109 m",,,"?? m","2448 m","34 %","54 %","1032 m","?? Stk","2,3 m/s","7 min",,"339 m"
"Grand Col","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3315/datas.htm",,"2000 Pers/h",,,"2398 m",,"?? m","?? m","2830 m","28 %","72 %","1429 m","?? Stk","2,3 m/s","?? min",,"432 m"
"Gollet","Les Arcs","2-CLF","https://lift-world.info/en/lifts/3317/datas.htm",,"?? Pers/h",,,"1610 m",,"?? m","?? m","2084 m","36 %","48 %","1425 m","?? Stk","?? m/s","?? min",,"474 m"
"Eldorador","Les Arcs","1-SL","https://lift-world.info/en/lifts/8299/datas.htm",,"340 Pers/h",,,"2119 m",,"?? m","?? m","2131 m","?? %","20 %","100 m","?? Stk","1,2 m/s","?? min",,"12 m"
"Droset","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3211/datas.htm",,"1800 Pers/h",,,"2120 m",,"?? m","?? m","2346 m","?? %","60 %","1046 m","12 Stk","2,3 m/s","7,57 min",,"226 m"
"Deux Têtes","Les Arcs","1-SL","https://lift-world.info/en/lifts/3330/datas.htm",,"800 Pers/h",,,"2067 m",,,"?? m","2285 m","?? %","58 %","600 m","?? Stk","3,66 m/s","?? min",,"218 m"
"Comborcière","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3306/datas.htm",,"1800 Pers/h",,,"1824 m",,"?? m","?? m","2315 m","31 %","71 %","1682 m","?? Stk","2,5 m/s","?? min",,"491 m"
"Comborciere","Les Arcs","4-CLD","https://lift-world.info/en/lifts/18868/datas.htm",,"2400 Pers/h",,,"1829 m",,,"?? m","2316 m","?? %","?? %","1623 m","?? Stk","5 m/s","6 min",,"487 m"
"Combettes","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3811/datas.htm",,"1350 Pers/h",,,"1625 m",,,"?? m","1754 m","27 %","42 %","500 m","?? Stk","2,0 m/s","?? min",,"129 m"
"Col des Frettes","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3309/datas.htm",,"1350 Pers/h",,,"2052 m",,"?? m","?? m","2414 m","31 %","68 %","1200 m","?? Stk","2,5 m/s","8 min",,"362 m"
"Clocheret","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3310/datas.htm",,"2000 Pers/h",,,"2028 m",,,"?? m","2388 m","30 %","67 %","1175 m","15 Stk","2,3 m/s","8,5 min",,"360 m"
"Clair blanc","Les Arcs","2-CLF","https://lift-world.info/en/lifts/3812/datas.htm",,"900 Pers/h",,,"2050 m",,"?? m","?? m","2253 m","22 %","47 %","925 m","?? Stk","2,5 m/s","?? min",,"203 m"
"Charmettoger","Les Arcs","4-CLF","https://lift-world.info/en/lifts/3308/datas.htm",,"2000 Pers/h",,,"1745 m",,"?? m","?? m","2118 m","?? %","44 %","1500 m","?? Stk","2,3 m/s","?? min",,"373 m"
"Chantel","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3813/datas.htm",,"1350 Pers/h",,,"1714 m",,"?? m","?? m","1920 m","22 %","38 %","971 m","10 Stk","2,5 m/s","?? min",,"206 m"
"Carreley","Les Arcs","3-CLF","https://lift-world.info/en/lifts/3307/datas.htm",,"1250 Pers/h",,,"1713 m",,"?? m","?? m","1864 m","?? %","45 %","762 m","?? Stk","2,3 m/s","?? min",,"151 m"
"Carreley","Les Arcs","6-CLD","https://lift-world.info/en/lifts/19344/datas.htm",,"3000 Pers/h",,,"1794 m",,,"?? m","2388 m","32 %","77 %","1972 m","18 Stk","6,0 m/s","5,47 min",,"594 m"
"Cachette","Les Arcs","4-CLD","https://lift-world.info/en/lifts/3305/datas.htm",,"2500 Pers/h",,,"1628 m",,,"?? m","2173 m","32 %","61 %","1813 m","?? Stk","5,0 m/s","?? min",,"545 m"
"Bosses","Les Arcs","1-SL","https://lift-world.info/en/lifts/3810/datas.htm",,"900 Pers/h",,,"2301 m",,,"?? m","2542 m","?? %","59 %","900 m","?? Stk","3,0 m/s","?? min",,"241 m"
"Bois de l'Ours","Les Arcs","6-CLD","https://lift-world.info/en/lifts/3304/datas.htm",,"3000 Pers/h",,,"2018 m",,,"?? m","2418 m","?? %","89 %","950 m","13 Stk","5 m/s","3,43 min",,"400 m"
"Baby 1800 2","Les Arcs","1-SL","https://lift-world.info/en/lifts/8298/datas.htm",,"360 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","14 %","96 m","?? Stk","1,2 m/s","?? min",,"11 m"
"Baby 1800","Les Arcs","1-SL","https://lift-world.info/en/lifts/8297/datas.htm",,"275 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","1 %","92 m","?? Stk","1,2 m/s","?? min",,"98 m"
"Arpette","Les Arcs","3-CLF","https://lift-world.info/en/lifts/508/datas.htm",,"1500 Pers/h",,,"2021 m",,"?? m","?? m","2410 m","29 %","95 %","1413 m","?? Stk","2,25 m/s","?? min",,"389 m"
"Arpette","Les Arcs","6-CLD","https://lift-world.info/en/lifts/14120/datas.htm",,"3000 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1303 m","14 Stk","5,5 m/s","?? min",,"?? m"
"Arcabulle","Les Arcs","6-CLD/B","https://lift-world.info/en/lifts/11480/datas.htm",,"3000 Pers/h",,,"2184 m",,,"?? m","2544 m","20 %","49 %","1870 m","15 Stk","5,0 m/s","6,25 min",,"360 m"
"Aiguille Rouge","Les Arcs","70-AT","https://lift-world.info/en/lifts/1288/datas.htm",,"1120 Pers/h",,,"2670 m",,,"?? m","3210 m","?? %","81 %","1067 m","?? Stk","10,0 m/s","?? min",,"540 m"
"Vallandry","Les Arcs / Peisey-Vallandry","4-CLD","https://lift-world.info/en/lifts/3322/datas.htm",,"2350 Pers/h",,,"1566 m",,,"?? m","2145 m","?? %","59 %","2137 m","?? Stk","5,0 m/s","?? min",,"579 m"
"Plan de l'Ours","Les Arcs / Peisey-Vallandry","4-CLF","https://lift-world.info/en/lifts/3321/datas.htm",,"1970 Pers/h",,,"1855 m",,,"?? m","2280 m","?? %","51 %","1400 m","?? Stk","2,5 m/s","?? min",,"425 m"
"Plan Bois","Les Arcs / Peisey-Vallandry","4-CLF","https://lift-world.info/en/lifts/3323/datas.htm",,"2170 Pers/h",,,"1930 m",,,"?? m","2335 m","?? %","57 %","1466 m","?? Stk","2,5 m/s","?? min",,"405 m"
"Parchey","Les Arcs / Peisey-Vallandry","4-CLF","https://lift-world.info/en/lifts/14858/datas.htm",,"1600 Pers/h",,,"1655 m",,,"?? m","1762 m","38 %","60 %","305 m","4 Stk","2,0 m/s","2,5 min",,"107 m"
"Lonzagne","Les Arcs / Peisey-Vallandry","4-MGFP","https://lift-world.info/en/lifts/8535/datas.htm",,"536 Pers/h",,,"1297 m",,"?? m","?? m","1601 m","?? %","48 %","840 m","?? Stk","3,65 m/s","?? min",,"304 m"
"Le Grizzly","Les Arcs / Peisey-Vallandry","6-CLD","https://lift-world.info/en/lifts/5372/datas.htm",,"2400 Pers/h",,,"1612 m",,,"?? m","2280,7 m","29,0 %","60,0 %","2369 m","?? Stk","5,0 m/s","8,0 min",,"669 m"
"Le Derby","Les Arcs / Peisey-Vallandry","6-CLD","https://lift-world.info/en/lifts/12763/datas.htm",,"3000 Pers/h",,,"?? m",,,"?? m","?? m","28 %","79 %","1498 m","15 Stk","5,0 m/s","?? min",,"399 m"
"Flocons","Les Arcs / Peisey-Vallandry","1-SL","https://lift-world.info/en/lifts/8533/datas.htm",,"600 Pers/h",,,"2025 m",,,"?? m","2048 m","?? %","20 %","123 m","?? Stk","1,5 m/s","?? min",,"23 m"
"Combe","Les Arcs / Peisey-Vallandry","1-SL","https://lift-world.info/en/lifts/3325/datas.htm",,"490 Pers/h",,,"1790 m",,,"?? m","2096 m","?? %","52 %","1050 m","?? Stk","3,0 m/s","?? min",,"306 m"
"Cabri","Les Arcs / Peisey-Vallandry","1-SL","https://lift-world.info/en/lifts/8532/datas.htm",,"600 Pers/h",,,"2025 m",,,"?? m","2073 m","?? %","22 %","264 m","?? Stk","2,6 m/s","?? min",,"48 m"
"2300","Les Arcs / Peisey-Vallandry","4-CLF","https://lift-world.info/en/lifts/3324/datas.htm",,"2400 Pers/h",,,"2024 m",,,"?? m","2198 m","?? %","43 %","700 m","?? Stk","2,3 m/s","?? min",,"174 m"
"Plan des Violettes","Les Arcs / Villaroger","3-CLF","https://lift-world.info/en/lifts/3320/datas.htm",,"1350 Pers/h",,,"1420 m",,"?? m","?? m","2135 m","47 %","70 %","1677 m","?? Stk","2,3 m/s","?? min",,"715 m"
"Le Replat","Les Arcs / Villaroger","3-CLF","https://lift-world.info/en/lifts/3319/datas.htm",,"1350 Pers/h",,,"1210 m",,"?? m","?? m","1440 m","48 %","53 %","540 m","?? Stk","2,25 m/s","4 min",,"230 m"
