"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Rendezvous","","3-CLF","https://lift-world.info/en/lifts/1072/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Rainier Express","","4-CLD","https://lift-world.info/en/lifts/740/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1252 m","?? Stk","5,08 m/s","?? min",,"483 m"
"Northway","","2-CLF","https://lift-world.info/en/lifts/12425/datas.htm",,,,"1495 m",,"?? m","1579 m","2045 m","?? %","?? %","1653 m","19 Stk","2,79 m/s","?? min",,"562 m"
"Mt. Rainier Gondola","","8-MGD","https://lift-world.info/en/lifts/15223/datas.htm",,,,"1342 m",,,"?? m","2090 m","?? %","?? %","2107 m","15 Stk","4,0 m/s","9,6 min",,"748 m"
"Green Valley Express","","4-CLD","https://lift-world.info/en/lifts/528/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Forest QueenExpress","","6-CLD","https://lift-world.info/en/lifts/98/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Discovery","","3-CLF","https://lift-world.info/en/lifts/1081/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Chinook Express","","6-CLD","https://lift-world.info/en/lifts/99/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1205 m","?? Stk","?? m/s","?? min",,"260,5 m"
