"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Balme D","Tignes","1-SL","https://lift-world.info/en/lifts/8727/datas.htm",,"655 Pers/h",,,"2105 m",,,"?? m","2449 m","?? %","53 %","1164 m","?? Stk","3,92 m/s","?? min",,"344 m"
"Ascenseur Tignes les Brevieres","Tignes","18-FUC","https://lift-world.info/en/lifts/18198/datas.htm",,"300 Pers/h",,,"?? m",,,"140 m","?? m","?? %","?? %","?? m",,"3 m/s","?? min",,"42 m"
"Almes","Tignes","1-SL","https://lift-world.info/en/lifts/8726/datas.htm",,"900 Pers/h",,,"2100 m",,,"?? m","2294 m","?? %","45 %","594 m","?? Stk","3,5 m/s","?? min",,"194 m"
"Almes","Tignes","4-CLF","https://lift-world.info/en/lifts/19683/datas.htm",,"2100 Pers/h",,,"2092 m",,,"542 m","2275 m","33,76 %","40 %","573 m","7 Stk","2,1 m/s","4,55 min",,"183 m"
"Aiguille Rouge","Tignes","4-CLF","https://lift-world.info/en/lifts/4182/datas.htm",,"2000 Pers/h",,,"2100 m",,,"?? m","2415 m","?? %","37 %","1026 m","14 Stk","2,3 m/s","?? min",,"315 m"
"Aiguille Percee","Tignes","3-CLF","https://lift-world.info/en/lifts/4119/datas.htm",,"1430 Pers/h",,,"2420 m",,,"?? m","2728 m","?? %","80 %","1121 m","10 Stk","2,3 m/s","?? min",,"308 m"
"Aiguille Percée","Tignes","4-CLF","https://lift-world.info/en/lifts/17329/datas.htm",,"2400 Pers/h",,,"2426 m",,"?? m","1035 m","2728 m","?? %","?? %","1082 m","15 Stk","2,5 m/s","?? min",,"302 m"
"Aéroski","Tignes","10-MGD","https://lift-world.info/en/lifts/1440/datas.htm",,"3000 Pers/h",,,"2100 m",,,"1685 m","2703 m","35,79 %","79 %","1816 m","25 Stk","5,0 m/s","6,1 min",,"603 m"
"3500 Nr. 2","Tignes","2-SL","https://lift-world.info/en/lifts/8725/datas.htm",,"900 Pers/h",,,"3130 m",,,"?? m","3371 m","?? %","32 %","867 m","?? Stk","3,5 m/s","?? min",,"241 m"
"3500 Nr. 1","Tignes","2-SL","https://lift-world.info/en/lifts/8724/datas.htm",,"1200 Pers/h",,,"3130 m",,,"?? m","3345 m","?? %","?? %","790 m","?? Stk","3,12 m/s","?? min",,"215 m"
