"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Solaise","Val d'Isère","10-MGD","https://lift-world.info/en/lifts/18391/datas.htm",,,,"1838 m",,,"2054 m","2555 m","34,9 %","79,8 %","2198 m","16 Stk","6,0 m/s","6,5 min",,"717 m"
"Snow Park","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8839/datas.htm",,,,"2390 m",,,"?? m","2491 m","?? %","45 %","372 m","?? Stk","2,5 m/s","?? min",,"101 m"
"Slalom","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8840/datas.htm",,,,"2390 m",,,"?? m","2491 m","?? %","45 %","372 m","?? Stk","2,5 m/s","?? min",,"101 m"
"Signal","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8836/datas.htm",,,,"2325 m",,,"?? m","2747 m","?? %","56 %","1735 m","?? Stk","4,0 m/s","?? min",,"422 m"
"Signal","Val d'Isère","1-SL","https://lift-world.info/en/lifts/11377/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","554 m","?? Stk","?? m/s","?? min",,"197 m"
"Semanmille","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8835/datas.htm",,,,"2153 m",,,"?? m","2285 m","?? %","49 %","418 m","?? Stk","3,5 m/s","?? min",,"132 m"
"Savonnette 2","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8834/datas.htm",,,,"1850 m",,,"?? m","1898 m","?? %","44 %","235 m","?? Stk","1,4 m/s","?? min",,"48 m"
"Savonnette","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8833/datas.htm",,,,"1850 m",,,"?? m","1898 m","?? %","32 %","150 m","?? Stk","1,7 m/s","?? min",,"48 m"
"Santon 2","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8832/datas.htm",,,,"2401 m",,,"?? m","2536 m","?? %","33 %","940 m","?? Stk","3,53 m/s","?? min",,"135 m"
"Santon 1","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8831/datas.htm",,,,"2401 m",,,"?? m","2536 m","?? %","33 %","940 m","?? Stk","3,53 m/s","?? min",,"135 m"
"Rogoney","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4166/datas.htm",,,,"1831 m",,,"?? m","1989 m","30 %","68 %","587 m","8 Stk","2,3 m/s","?? min",,"158 m"
"Pyramides","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8830/datas.htm",,,,"2325 m",,,"?? m","2932 m","?? %","56 %","2057 m","?? Stk","4,0 m/s","?? min",,"607 m"
"Pyramides","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/11376/datas.htm",,,,"?? m",,,"?? m","?? m","34 %","69 %","1284 m","14 Stk","5 m/s","4,25 min",,"410 m"
"Pays Désert","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8829/datas.htm",,,,"2661 m",,,"?? m","2749 m","?? %","25 %","483 m","?? Stk","3,5 m/s","?? min",,"88 m"
"Ouillette","Val d'Isère","1-SL","https://lift-world.info/en/lifts/9015/datas.htm",,,,"2503 m",,,"?? m","2505 m","?? %","5 %","410 m","?? Stk","2,56 m/s","?? min",,"2 m"
"Montets","Val d'Isère","2-SL","https://lift-world.info/en/lifts/8828/datas.htm",,,,"3045 m",,,"?? m","3257 m","?? %","42 %","950 m","?? Stk","2,8 m/s","?? min",,"212 m"
"Mont Blanc","Val d'Isère","3-CLF","https://lift-world.info/en/lifts/4174/datas.htm",,,,"2260 m",,,"?? m","2517 m","?? %","34 %","1137 m","13 Stk","2,5 m/s","?? min",,"257 m"
"Marmottes Express","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/13364/datas.htm",,,,"2384 m",,,"1172 m","2690 m","26 %","29 %","1215 m","11 Stk","5,5 m/s","?? min",,"305 m"
"Marmottes","Val d'Isère","3-CLF","https://lift-world.info/en/lifts/4163/datas.htm",,,,"2407 m",,,"?? m","2664 m","21 %","35 %","1265 m","17 Stk","2,5 m/s","?? min",,"257 m"
"Manchet Express","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/4169/datas.htm",,,,"1940 m",,,"?? m","2640 m","?? %","59 %","1945 m","17 Stk","5,0 m/s","?? min",,"700 m"
"Madeleine Express","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/228/datas.htm",,,,"2518 m",,,"?? m","2685 m","18 %","28 %","956 m","9 Stk","5,0 m/s","?? min",,"167 m"
"Loyes Express","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/4186/datas.htm",,,,"2160 m",,,"?? m","2719 m","36 %","47 %","1450 m","19 Stk","4,25 m/s","?? min",,"529 m"
"Leissieres","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/4069/datas.htm",,,,"2687 m",,,"?? m","2719 m","3 %","82 %","1074 m","14 Stk","5,0 m/s","3,5 min",,"32 m"
"Legettaz","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8827/datas.htm",,,,"1844 m",,,"?? m","1944 m","?? %","40 %","340 m","?? Stk","2,5 m/s","?? min",,"100 m"
"Lanche 2","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8838/datas.htm",,,,"1798 m",,,"?? m","1840 m","?? %","26 %","215 m","?? Stk","1,82 m/s","?? min",,"42 m"
"Lanche 1","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8826/datas.htm",,,,"1798 m",,,"?? m","1840 m","?? %","26 %","215 m","?? Stk","1,82 m/s","?? min",,"42 m"
"Laisinant Express","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/9368/datas.htm",,,,"?? m",,"?? m","?? m","?? m","43 %","85 %","1851 m","?? Stk","5,0 m/s","?? min",,"727 m"
"Lac","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4171/datas.htm",,,,"2518 m",,,"?? m","2560 m","19 %","46 %","230 m","5 Stk","2,0 m/s","?? min",,"42 m"
"La Daille","Val d'Isère","4-MGD","https://lift-world.info/en/lifts/4258/datas.htm",,,,"1870 m",,,"?? m","2352 m","?? %","33 %","1665 m","?? Stk","3,5 m/s","?? min",,"482 m"
