"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Cuboré","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7363/datas.htm",,"1350 Pers/h",,,"1989 m",,,"?? m","2296 m","17 %","81 %","989 m","?? Stk","2,3 m/s","?? min",,"307 m"
"Crot","Avoriaz","2-CLF","https://lift-world.info/en/lifts/7361/datas.htm",,"900 Pers/h",,,"1479 m",,,"?? m","1941 m","38 %","86 %","1315 m","?? Stk","2,5 m/s","?? min",,"462 m"
"Combe du Machon","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7360/datas.htm",,"1450 Pers/h",,,"1700 m",,,"?? m","2229 m","38 %","84 %","1490 m","?? Stk","2,3 m/s","?? min",,"529 m"
"Choucas","Avoriaz","4-CLD","https://lift-world.info/en/lifts/7359/datas.htm",,"2400 Pers/h",,,"1795 m",,,"?? m","2145 m","27 %","57 %","1323 m","?? Stk","5,0 m/s","?? min",,"350 m"
"Chavanettes 2","Avoriaz","1-SL","https://lift-world.info/en/lifts/8898/datas.htm",,"900 Pers/h",,,"1795 m",,,"?? m","2141 m","24 %","54 %","1466 m","?? Stk","3,75 m/s","?? min",,"346 m"
"Chavanettes 1","Avoriaz","1-SL","https://lift-world.info/en/lifts/8897/datas.htm",,"700 Pers/h",,,"1795 m",,,"?? m","2141 m","?? %","54 %","1572 m","?? Stk","3,5 m/s","?? min",,"346 m"
"Chaux Fleurie","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7358/datas.htm",,"1350 Pers/h",,,"1505 m",,"?? m","?? m","1917 m","38 %","68 %","1160 m","?? Stk","2,3 m/s","?? min",,"412 m"
"Chaux Fleurie","Avoriaz","6-CLD","https://lift-world.info/en/lifts/11447/datas.htm",,"3000 Pers/h",,,"1505 m",,,"?? m","1917 m","40 %","75 %","1148 m","10 Stk","5,0 m/s","3,8 min",,"412 m"
"Chapelle 1","Avoriaz","1-SL","https://lift-world.info/en/lifts/8896/datas.htm",,"820 Pers/h",,,"?? m",,"?? m","?? m","?? m","17 %","40 %","337 m","?? Stk","3,14 m/s","?? min",,"54 m"
"Cases","Avoriaz","6-CLD","https://lift-world.info/en/lifts/19025/datas.htm",,"2500 (2700) Pers/h",,,"1718 m",,,"2013 m","2160 m","21,96 %","70 %","2066 m","18 Stk","5 m/s","6,9 min",,"442 m"
"Brochaux","Avoriaz","3-CLF","https://lift-world.info/en/lifts/7357/datas.htm",,"1350 Pers/h",,,"1600 m",,"?? m","?? m","1989 m","44 %","87 %","965 m","?? Stk","2,5 m/s","?? min",,"389 m"
"Brochaux","Avoriaz","6-CLD","https://lift-world.info/en/lifts/19641/datas.htm",,"3000 Pers/h",,,"1581 m",,,"904 m","1994 m","45,69 %","84,8 %","979 m","9 Stk","5,5 m/s","?? min",,"413 m"
"Baron","Avoriaz","1-SL","https://lift-world.info/en/lifts/8895/datas.htm",,"900 Pers/h",,,"1650 m",,,"?? m","1739 m","22 %","32 %","432 m","?? Stk","3,53 m/s","?? min",,"89 m"
"Barmettes","Avoriaz","1-SL","https://lift-world.info/en/lifts/8894/datas.htm",,"900 Pers/h",,,"1496 m",,,"?? m","1530 m","?? %","24 %","250 m","?? Stk","2,55 m/s","?? min",,"34 m"
"Avoriaz - Prodains","Avoriaz","35-BGD","https://lift-world.info/en/lifts/16043/datas.htm",,"2000 (2400) Pers/h",,,"1182 m",,,"1462 m","1758 m","39,4 %","70,6 %","1571 m","2 Stk","7,0 m/s","4 min",,"575 m"
"Ardent","Avoriaz","9-MGD","https://lift-world.info/en/lifts/7356/datas.htm",,"1620 Pers/h",,,"1210 m",,,"?? m","1509 m","21 %","62 %","1480 m","?? Stk","5,0 m/s","?? min",,"299 m"
"Ardent","Avoriaz","9-MGD","https://lift-world.info/en/lifts/14981/datas.htm",,"2400 Pers/h",,,"1208 m",,"?? m","?? m","1506 m","21 %","38,2 %","1452 m","12 Stk","6 m/s","4,30 min",,"298 m"
"Arare 2","Avoriaz","1-SL","https://lift-world.info/en/lifts/8893/datas.htm",,"750 Pers/h",,,"1933 m",,,"?? m","2248 m","29 %","55 %","1156 m","?? Stk","3,52 m/s","?? min",,"315 m"
"Arare 1","Avoriaz","1-SL","https://lift-world.info/en/lifts/8892/datas.htm",,"825 Pers/h",,,"1933 m",,,"?? m","2170 m","?? %","38 %","902 m","?? Stk","3,5 m/s","?? min",,"237 m"
"Troncs Express","Morzine","6-CLD","https://lift-world.info/en/lifts/16087/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Super Morzine","Morzine","6-MGD","https://lift-world.info/en/lifts/7371/datas.htm",,"1770 Pers/h",,,"970 m",,,"?? m","1458 m","36 %","78 %","1434 m","?? Stk","5,0 m/s","?? min",,"488 m"
"Super Morzine","Morzine","2-BL","https://lift-world.info/en/lifts/13996/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Raverettes","Morzine","1-SL","https://lift-world.info/en/lifts/9733/datas.htm",,"900 Pers/h",,,"1425 m",,,"?? m","1630 m","24 %","44 %","878 m","?? Stk","4,0 m/s","?? min",,"205 m"
"Raverettes","Morzine","4-CLF","https://lift-world.info/en/lifts/11482/datas.htm",,"2400 Pers/h",,,"1417 m",,,"?? m","1542 m","20 %","29 %","680 m","?? Stk","2,3 m/s","?? min",,"125 m"
"Pré Favre","Morzine","4-CLF","https://lift-world.info/en/lifts/9716/datas.htm",,"1470 Pers/h",,,"1154 m",,"?? m","?? m","1427 m","32 %","65 %","890 m","?? Stk","2,3 m/s","?? min",,"273 m"
"Pointe de Nyon","Morzine","3-CLF","https://lift-world.info/en/lifts/9731/datas.htm",,"1170 Pers/h",,,"1425 m",,"?? m","?? m","1968 m","40 %","91 %","1500 m","?? Stk","2,5 m/s","?? min",,"543 m"
