"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Peak2Peak Gondola","Whistler","28-BGD","https://lift-world.info/en/lifts/13214/datas.htm",,"2050 Pers/h",,,"1870 m",,,"4400 m","1834 m","?? %","?? %","4516 m","4 Stk","7,5 m/s","11 min",,"36 m"
"Peak Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3510/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1015 m","12 Stk","5,1 m/s","3 min",,"401 m"
"Peak Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13207/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","12 Stk","?? m/s","?? min",,"?? m"
"Orange","Whistler","2-CLF","https://lift-world.info/en/lifts/3506/datas.htm",,"2100 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1238 m","?? Stk","2,159 m/s","?? min",,"386 m"
"Olympic","Whistler","3-CLF","https://lift-world.info/en/lifts/3514/datas.htm",,"1800 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","729 m","?? Stk","2,4 m/s","?? min",,"123 m"
"Olive Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13206/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Magic","Whistler","3-CLF","https://lift-world.info/en/lifts/3515/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","620 m","10 Stk","?? m/s","?? min",,"94 m"
"Lower Blackcomb Gondola","Whistler","10-MGD","https://lift-world.info/en/lifts/19846/datas.htm",,"4000 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1957 m","?? Stk","6,0 m/s","?? min",,"487 m"
"Little Red Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13205/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Kadenwood Gondola","Whistler","8-MGFP","https://lift-world.info/en/lifts/15228/datas.htm",,"306 Pers/h",,,"635 m",,"?? m","?? m","861 m","?? %","?? %","906 m","?? Stk","5,0 m/s","8 min",,"226 m"
"Jersey Cream Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3497/datas.htm",,"2864 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1416 m","18 Stk","5,08 m/s","?? min",,"375 m"
